User ID,Session ID,Event Time,Event,Device,Region,Channel,Product Category,Revenue,Bonus Flag
USR-00056,SES-00056,00:15.1,Browse,Tablet,North,Email,Fashion,0,Yes
USR-00056,SES-00056,02:15.1,Add to Cart,Tablet,North,Email,Fashion,0,Yes
USR-00057,SES-00057,15:52.6,Browse,Desktop,South,Google Ads,Electronics,0,Yes
USR-00057,SES-00057,20:52.6,Add to Cart,Desktop,South,Google Ads,Electronics,0,Yes
USR-00057,SES-00057,23:52.6,Checkout,Desktop,South,Google Ads,Electronics,0,Yes
USR-00057,SES-00057,26:52.6,Purchase,Desktop,South,Google Ads,Electronics,82.88,No
USR-00058,SES-00058,47:18.2,Browse,Tablet,West,Social Media,Fashion,0,Yes
USR-00059,SES-00059,34:18.9,Browse,Mobile,North,Social Media,Beauty,0,Yes
USR-00060,SES-00060,27:24.7,Browse,Desktop,North,Social Media,Beauty,0,Yes
USR-00061,SES-00061,19:29.9,Browse,Desktop,North,Google Ads,Sports,0,Yes
USR-00062,SES-00062,44:13.4,Browse,Mobile,West,Social Media,Electronics,0,Yes
USR-00062,SES-00062,48:13.4,Add to Cart,Mobile,West,Social Media,Electronics,0,Yes
USR-00062,SES-00062,53:13.4,Checkout,Mobile,West,Social Media,Electronics,0,Yes
USR-00063,SES-00063,44:58.8,Browse,Desktop,East,Email,Fashion,0,Yes
USR-00063,SES-00063,46:58.8,Add to Cart,Desktop,East,Email,Fashion,0,Yes
USR-00064,SES-00064,11:20.5,Browse,Mobile,West,Google Ads,Beauty,0,Yes
USR-00064,SES-00064,16:20.5,Add to Cart,Mobile,West,Google Ads,Beauty,0,Yes
USR-00065,SES-00065,47:26.3,Browse,Tablet,North,Social Media,Electronics,0,Yes
USR-00065,SES-00065,52:26.3,Add to Cart,Tablet,North,Social Media,Electronics,0,Yes
USR-00066,SES-00066,20:50.4,Browse,Mobile,South,Organic,Beauty,0,Yes
USR-00066,SES-00066,23:50.4,Add to Cart,Mobile,South,Organic,Beauty,0,Yes
USR-00067,SES-00067,34:33.0,Browse,Mobile,South,Social Media,Beauty,0,Yes
USR-00068,SES-00068,42:21.2,Browse,Mobile,East,Social Media,Electronics,0,Yes
USR-00068,SES-00068,46:21.2,Add to Cart,Mobile,East,Social Media,Electronics,0,Yes
USR-00068,SES-00068,48:21.2,Checkout,Mobile,East,Social Media,Electronics,0,Yes
USR-00069,SES-00069,46:00.3,Browse,Tablet,West,Social Media,Sports,0,Yes
USR-00069,SES-00069,49:00.3,Add to Cart,Tablet,West,Social Media,Sports,0,Yes
USR-00070,SES-00070,21:54.6,Browse,Desktop,North,Email,Electronics,0,Yes
USR-00070,SES-00070,23:54.6,Add to Cart,Desktop,North,Email,Electronics,0,Yes
USR-00070,SES-00070,28:54.6,Checkout,Desktop,North,Email,Electronics,0,Yes
USR-00070,SES-00070,33:54.6,Purchase,Desktop,North,Email,Electronics,107.64,No
USR-00071,SES-00071,36:52.2,Browse,Mobile,North,Email,Sports,0,Yes
USR-00072,SES-00072,36:52.1,Browse,Desktop,West,Social Media,Beauty,0,Yes
USR-00073,SES-00073,58:49.8,Browse,Desktop,South,Social Media,Fashion,0,Yes
USR-00074,SES-00074,09:34.1,Browse,Mobile,South,Google Ads,Home,0,Yes
USR-00074,SES-00074,14:34.1,Add to Cart,Mobile,South,Google Ads,Home,0,Yes
USR-00074,SES-00074,17:34.1,Checkout,Mobile,South,Google Ads,Home,0,Yes
USR-00074,SES-00074,21:34.1,Purchase,Mobile,South,Google Ads,Home,294.7,No
USR-00075,SES-00075,17:26.5,Browse,Tablet,South,Organic,Sports,0,Yes
USR-00075,SES-00075,20:26.5,Add to Cart,Tablet,South,Organic,Sports,0,Yes
USR-00075,SES-00075,25:26.5,Checkout,Tablet,South,Organic,Sports,0,Yes
USR-00075,SES-00075,27:26.5,Purchase,Tablet,South,Organic,Sports,489.91,No
USR-00076,SES-00076,58:28.3,Browse,Tablet,North,Email,Beauty,0,Yes
USR-00077,SES-00077,51:39.4,Browse,Tablet,North,Social Media,Fashion,0,Yes
USR-00077,SES-00077,53:39.4,Add to Cart,Tablet,North,Social Media,Fashion,0,Yes
USR-00077,SES-00077,56:39.4,Checkout,Tablet,North,Social Media,Fashion,0,Yes
USR-00077,SES-00077,01:39.4,Purchase,Tablet,North,Social Media,Fashion,188.72,No
USR-00078,SES-00078,22:28.5,Browse,Desktop,North,Google Ads,Fashion,0,Yes
USR-00078,SES-00078,25:28.5,Add to Cart,Desktop,North,Google Ads,Fashion,0,Yes
USR-00079,SES-00079,25:52.2,Browse,Tablet,South,Google Ads,Beauty,0,Yes
USR-00079,SES-00079,30:52.2,Add to Cart,Tablet,South,Google Ads,Beauty,0,Yes
USR-00080,SES-00080,03:30.7,Browse,Desktop,North,Organic,Fashion,0,Yes
USR-00080,SES-00080,06:30.7,Add to Cart,Desktop,North,Organic,Fashion,0,Yes
USR-00081,SES-00081,33:58.8,Browse,Desktop,North,Email,Home,0,Yes
USR-00081,SES-00081,38:58.8,Add to Cart,Desktop,North,Email,Home,0,Yes
USR-00081,SES-00081,40:58.8,Checkout,Desktop,North,Email,Home,0,Yes
USR-00082,SES-00082,43:54.1,Browse,Tablet,South,Google Ads,Electronics,0,Yes
USR-00082,SES-00082,47:54.1,Add to Cart,Tablet,South,Google Ads,Electronics,0,Yes
USR-00083,SES-00083,58:58.2,Browse,Tablet,South,Organic,Fashion,0,Yes
USR-00083,SES-00083,02:58.2,Add to Cart,Tablet,South,Organic,Fashion,0,Yes
USR-00084,SES-00084,27:27.2,Browse,Mobile,East,Google Ads,Fashion,0,Yes
USR-00085,SES-00085,08:49.6,Browse,Desktop,South,Email,Fashion,0,Yes
USR-00086,SES-00086,28:05.6,Browse,Mobile,West,Social Media,Sports,0,Yes
USR-00086,SES-00086,32:05.6,Add to Cart,Mobile,West,Social Media,Sports,0,Yes
USR-00087,SES-00087,13:48.1,Browse,Desktop,East,Social Media,Home,0,Yes
USR-00088,SES-00088,49:08.7,Browse,Desktop,North,Social Media,Fashion,0,Yes
USR-00088,SES-00088,52:08.7,Add to Cart,Desktop,North,Social Media,Fashion,0,Yes
USR-00089,SES-00089,03:56.6,Browse,Desktop,North,Social Media,Electronics,0,Yes
USR-00090,SES-00090,29:10.2,Browse,Tablet,North,Social Media,Home,0,Yes
USR-00090,SES-00090,31:10.2,Add to Cart,Tablet,North,Social Media,Home,0,Yes
USR-00091,SES-00091,56:02.5,Browse,Desktop,West,Email,Fashion,0,Yes
USR-00092,SES-00092,26:16.8,Browse,Mobile,North,Organic,Fashion,0,Yes
USR-00092,SES-00092,29:16.8,Add to Cart,Mobile,North,Organic,Fashion,0,Yes
USR-00093,SES-00093,28:45.0,Browse,Tablet,West,Organic,Beauty,0,Yes
USR-00094,SES-00094,45:43.0,Browse,Desktop,South,Social Media,Sports,0,Yes
USR-00095,SES-00095,40:03.5,Browse,Desktop,West,Email,Sports,0,Yes
USR-00096,SES-00096,59:44.6,Browse,Desktop,South,Email,Fashion,0,Yes
USR-00097,SES-00097,51:16.6,Browse,Tablet,West,Social Media,Electronics,0,Yes
USR-00097,SES-00097,56:16.6,Add to Cart,Tablet,West,Social Media,Electronics,0,Yes
USR-00098,SES-00098,09:55.1,Browse,Desktop,North,Email,Beauty,0,Yes
USR-00098,SES-00098,12:55.1,Add to Cart,Desktop,North,Email,Beauty,0,Yes
USR-00099,SES-00099,22:25.6,Browse,Tablet,East,Google Ads,Electronics,0,Yes
USR-00099,SES-00099,25:25.6,Add to Cart,Tablet,East,Google Ads,Electronics,0,Yes
USR-00100,SES-00100,41:53.3,Browse,Desktop,West,Social Media,Fashion,0,Yes
USR-00100,SES-00100,45:53.3,Add to Cart,Desktop,West,Social Media,Fashion,0,Yes
USR-00101,SES-00101,05:04.8,Browse,Mobile,East,Email,Home,0,Yes
USR-00101,SES-00101,10:04.8,Add to Cart,Mobile,East,Email,Home,0,Yes
USR-00102,SES-00102,08:08.2,Browse,Mobile,South,Google Ads,Sports,0,Yes
USR-00103,SES-00103,09:57.7,Browse,Mobile,East,Google Ads,Beauty,0,Yes
USR-00103,SES-00103,13:57.7,Add to Cart,Mobile,East,Google Ads,Beauty,0,Yes
USR-00103,SES-00103,17:57.7,Checkout,Mobile,East,Google Ads,Beauty,0,Yes
USR-00104,SES-00104,17:18.6,Browse,Desktop,West,Email,Fashion,0,Yes
USR-00104,SES-00104,21:18.6,Add to Cart,Desktop,West,Email,Fashion,0,Yes
USR-00105,SES-00105,42:15.7,Browse,Desktop,West,Email,Sports,0,Yes
USR-00106,SES-00106,22:00.3,Browse,Desktop,West,Organic,Sports,0,Yes
USR-00106,SES-00106,27:00.3,Add to Cart,Desktop,West,Organic,Sports,0,Yes
USR-00107,SES-00107,34:57.6,Browse,Desktop,East,Social Media,Sports,0,Yes
USR-00108,SES-00108,20:36.1,Browse,Tablet,West,Email,Beauty,0,Yes
USR-00108,SES-00108,24:36.1,Add to Cart,Tablet,West,Email,Beauty,0,Yes
USR-00109,SES-00109,51:13.3,Browse,Desktop,East,Social Media,Fashion,0,Yes
USR-00109,SES-00109,53:13.3,Add to Cart,Desktop,East,Social Media,Fashion,0,Yes
USR-00109,SES-00109,57:13.3,Checkout,Desktop,East,Social Media,Fashion,0,Yes
USR-00110,SES-00110,18:16.0,Browse,Mobile,South,Email,Sports,0,Yes
USR-00110,SES-00110,23:16.0,Add to Cart,Mobile,South,Email,Sports,0,Yes
USR-00111,SES-00111,07:14.4,Browse,Desktop,South,Organic,Home,0,Yes
USR-00111,SES-00111,10:14.4,Add to Cart,Desktop,South,Organic,Home,0,Yes
USR-00111,SES-00111,14:14.4,Checkout,Desktop,South,Organic,Home,0,Yes
USR-00111,SES-00111,16:14.4,Purchase,Desktop,South,Organic,Home,182.3,No
USR-00112,SES-00112,02:08.5,Browse,Tablet,South,Organic,Electronics,0,Yes
USR-00112,SES-00112,04:08.5,Add to Cart,Tablet,South,Organic,Electronics,0,Yes
USR-00112,SES-00112,08:08.5,Checkout,Tablet,South,Organic,Electronics,0,Yes
USR-00112,SES-00112,12:08.5,Purchase,Tablet,South,Organic,Electronics,143.79,No
USR-00113,SES-00113,38:05.1,Browse,Desktop,West,Organic,Home,0,Yes
USR-00113,SES-00113,40:05.1,Add to Cart,Desktop,West,Organic,Home,0,Yes
USR-00113,SES-00113,43:05.1,Checkout,Desktop,West,Organic,Home,0,Yes
USR-00114,SES-00114,35:18.2,Browse,Desktop,North,Google Ads,Sports,0,Yes
USR-00114,SES-00114,38:18.2,Add to Cart,Desktop,North,Google Ads,Sports,0,Yes
USR-00114,SES-00114,41:18.2,Checkout,Desktop,North,Google Ads,Sports,0,Yes
USR-00115,SES-00115,30:42.6,Browse,Tablet,West,Organic,Home,0,Yes
USR-00115,SES-00115,33:42.6,Add to Cart,Tablet,West,Organic,Home,0,Yes
USR-00115,SES-00115,35:42.6,Checkout,Tablet,West,Organic,Home,0,Yes
USR-00116,SES-00116,07:00.8,Browse,Mobile,South,Organic,Home,0,Yes
USR-00117,SES-00117,41:55.6,Browse,Mobile,East,Google Ads,Electronics,0,Yes
USR-00117,SES-00117,46:55.6,Add to Cart,Mobile,East,Google Ads,Electronics,0,Yes
USR-00117,SES-00117,49:55.6,Checkout,Mobile,East,Google Ads,Electronics,0,Yes
USR-00117,SES-00117,53:55.6,Purchase,Mobile,East,Google Ads,Electronics,326.92,No
USR-00118,SES-00118,10:39.1,Browse,Tablet,West,Email,Beauty,0,Yes
USR-00118,SES-00118,15:39.1,Add to Cart,Tablet,West,Email,Beauty,0,Yes
USR-00119,SES-00119,46:12.7,Browse,Mobile,West,Organic,Sports,0,Yes
USR-00119,SES-00119,51:12.7,Add to Cart,Mobile,West,Organic,Sports,0,Yes
USR-00120,SES-00120,57:50.4,Browse,Mobile,West,Organic,Home,0,Yes
USR-00121,SES-00121,25:07.9,Browse,Tablet,East,Google Ads,Electronics,0,Yes
USR-00122,SES-00122,49:46.5,Browse,Desktop,South,Organic,Electronics,0,Yes
USR-00122,SES-00122,51:46.5,Add to Cart,Desktop,South,Organic,Electronics,0,Yes
USR-00122,SES-00122,54:46.5,Checkout,Desktop,South,Organic,Electronics,0,Yes
USR-00123,SES-00123,46:38.7,Browse,Mobile,West,Social Media,Electronics,0,Yes
USR-00123,SES-00123,50:38.7,Add to Cart,Mobile,West,Social Media,Electronics,0,Yes
USR-00123,SES-00123,52:38.7,Checkout,Mobile,West,Social Media,Electronics,0,Yes
USR-00124,SES-00124,41:58.3,Browse,Tablet,North,Organic,Fashion,0,Yes
USR-00124,SES-00124,43:58.3,Add to Cart,Tablet,North,Organic,Fashion,0,Yes
USR-00124,SES-00124,45:58.3,Checkout,Tablet,North,Organic,Fashion,0,Yes
USR-00125,SES-00125,31:49.2,Browse,Mobile,West,Google Ads,Sports,0,Yes
USR-00125,SES-00125,36:49.2,Add to Cart,Mobile,West,Google Ads,Sports,0,Yes
USR-00125,SES-00125,40:49.2,Checkout,Mobile,West,Google Ads,Sports,0,Yes
USR-00125,SES-00125,43:49.2,Purchase,Mobile,West,Google Ads,Sports,312.52,No
USR-00126,SES-00126,12:19.0,Browse,Tablet,East,Social Media,Home,0,Yes
USR-00126,SES-00126,16:19.0,Add to Cart,Tablet,East,Social Media,Home,0,Yes
USR-00127,SES-00127,55:34.3,Browse,Mobile,South,Email,Sports,0,Yes
USR-00127,SES-00127,57:34.3,Add to Cart,Mobile,South,Email,Sports,0,Yes
USR-00128,SES-00128,48:15.8,Browse,Mobile,West,Email,Electronics,0,Yes
USR-00128,SES-00128,53:15.8,Add to Cart,Mobile,West,Email,Electronics,0,Yes
USR-00129,SES-00129,03:44.3,Browse,Tablet,East,Organic,Sports,0,Yes
USR-00129,SES-00129,08:44.3,Add to Cart,Tablet,East,Organic,Sports,0,Yes
USR-00129,SES-00129,10:44.3,Checkout,Tablet,East,Organic,Sports,0,Yes
USR-00130,SES-00130,59:51.5,Browse,Tablet,South,Email,Home,0,Yes
USR-00130,SES-00130,01:51.5,Add to Cart,Tablet,South,Email,Home,0,Yes
USR-00130,SES-00130,03:51.5,Checkout,Tablet,South,Email,Home,0,Yes
USR-00131,SES-00131,14:31.3,Browse,Mobile,North,Google Ads,Fashion,0,Yes
USR-00131,SES-00131,16:31.4,Add to Cart,Mobile,North,Google Ads,Fashion,0,Yes
USR-00131,SES-00131,19:31.3,Checkout,Mobile,North,Google Ads,Fashion,0,Yes
USR-00132,SES-00132,20:16.7,Browse,Tablet,East,Social Media,Home,0,Yes
USR-00132,SES-00132,22:16.7,Add to Cart,Tablet,East,Social Media,Home,0,Yes
USR-00133,SES-00133,01:29.0,Browse,Tablet,East,Email,Sports,0,Yes
USR-00133,SES-00133,06:29.0,Add to Cart,Tablet,East,Email,Sports,0,Yes
USR-00134,SES-00134,02:32.9,Browse,Mobile,South,Google Ads,Fashion,0,Yes
USR-00134,SES-00134,05:32.9,Add to Cart,Mobile,South,Google Ads,Fashion,0,Yes
USR-00134,SES-00134,08:32.9,Checkout,Mobile,South,Google Ads,Fashion,0,Yes
USR-00135,SES-00135,43:07.8,Browse,Mobile,East,Google Ads,Home,0,Yes
USR-00135,SES-00135,45:07.8,Add to Cart,Mobile,East,Google Ads,Home,0,Yes
USR-00136,SES-00136,50:42.7,Browse,Tablet,East,Google Ads,Beauty,0,Yes
USR-00136,SES-00136,54:42.7,Add to Cart,Tablet,East,Google Ads,Beauty,0,Yes
USR-00136,SES-00136,57:42.7,Checkout,Tablet,East,Google Ads,Beauty,0,Yes
USR-00137,SES-00137,30:59.3,Browse,Desktop,South,Organic,Fashion,0,Yes
USR-00137,SES-00137,34:59.3,Add to Cart,Desktop,South,Organic,Fashion,0,Yes
USR-00137,SES-00137,36:59.3,Checkout,Desktop,South,Organic,Fashion,0,Yes
USR-00137,SES-00137,38:59.3,Purchase,Desktop,South,Organic,Fashion,471.05,No
USR-00138,SES-00138,37:31.0,Browse,Desktop,East,Google Ads,Sports,0,Yes
USR-00138,SES-00138,40:31.0,Add to Cart,Desktop,East,Google Ads,Sports,0,Yes
USR-00139,SES-00139,13:40.5,Browse,Tablet,South,Email,Beauty,0,Yes
USR-00140,SES-00140,01:07.1,Browse,Mobile,North,Email,Electronics,0,Yes
USR-00140,SES-00140,04:07.1,Add to Cart,Mobile,North,Email,Electronics,0,Yes
USR-00140,SES-00140,06:07.1,Checkout,Mobile,North,Email,Electronics,0,Yes
USR-00141,SES-00141,02:38.9,Browse,Tablet,West,Email,Electronics,0,Yes
USR-00142,SES-00142,45:29.2,Browse,Desktop,West,Email,Home,0,Yes
